,Nom latin,Classe,Ordre,Famille,Nom du gène,Nom de l'espèce,Synonymes,Forme,Type,Vitesse de croissance,Hauteur à maturité (m),Infradensité (tMS/m3),Potentiel allergisant
0,Abarema cochliocarpos,Magnoliopsida,Fabales,Fabaceae,Abarema,cochliocarpos,,Grand arbuste,Feuillus,Inconnue,9,0.724,0
1,Abarema glauca,Magnoliopsida,Fabales,Fabaceae,Abarema,glauca,,Grand arbuste,Feuillus,Inconnue,3,0.724,0
2,Abarema jupunba,Magnoliopsida,Fabales,Fabaceae,Abarema,jupunba,,Arbre,Feuillus,Moyenne,19,0.585,0
3,Abarema langsdorfii,Magnoliopsida,Fabales,Fabaceae,Abarema,langsdorfii,,Grand arbuste,Feuillus,Inconnue,1,0.724,0
4,Abatia parviflora,Magnoliopsida,Salicales,Salicaceae,Abatia,parviflora,,Arbre,Feuillus,Moyenne,20,0.366,0
