Nom latin,Classe,Ordre,Famille,Nom du gène,Nom de l'espèce,Synonymes,Forme,Type,Vitesse de croissance,Hauteur à maturité (m),Infradensité (tMS/m3),Potentiel allergisant
Abarema cochliocarpos,Magnoliopsida,Fabales,Fabaceae,Abarema,cochliocarpos,,Grand arbuste,Feuillus,Inconnue,9,0.724,0
Abarema glauca,Magnoliopsida,Fabales,Fabaceae,Abarema,glauca,,Grand arbuste,Feuillus,Inconnue,3,0.724,0
Abarema jupunba,Magnoliopsida,Fabales,Fabaceae,Abarema,jupunba,,Arbre,Feuillus,Moyenne,19,0.585,0
Abarema langsdorfii,Magnoliopsida,Fabales,Fabaceae,Abarema,langsdorfii,,Grand arbuste,Feuillus,Inconnue,1,0.724,0
Abatia parviflora,Magnoliopsida,Salicales,Salicaceae,Abatia,parviflora,,Arbre,Feuillus,Moyenne,20,0.366,0
Abelia chinensis,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,chinensis,,Arbuste ou buisson,Feuillus,Moyenne,2,0.723,0
Abelia grandiflora,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,x grandiflora,,Arbuste ou buisson,Feuillus,Rapide,1,0.723,0
Abelia triflora,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,triflora,,Grand arbuste,Feuillus,Rapide,3,0.723,0
Abies alba,Pinopsida,Pinales,Pinaceae,Abies,alba,Abies excelsa,Arbre,Résineux,Moyenne,44,0.353,1
Abies amabilis,Pinopsida,Pinales,Pinaceae,Abies,amabilis,,Arbre,Résineux,Lente,50,0.400,0
Abies balsamea,Pinopsida,Pinales,Pinaceae,Abies,balsamea,Pinus balsamea,Arbre,Résineux,Lente,18,0.428,0
Abies borisii-regis,Pinopsida,Pinales,Pinaceae,Abies,x borisii-regis,,Arbre,Résineux,Lente,29,0.428,0
Abies bracteata,Pinopsida,Pinales,Pinaceae,Abies,bracteata,Abies venusta,Arbre,Résineux,Lente,28,0.428,0
Abies cephalonica,Pinopsida,Pinales,Pinaceae,Abies,cephalonica,,Arbre,Résineux,Moyenne,14,0.428,0
Abies cilicica,Pinopsida,Pinales,Pinaceae,Abies,cilicica,,Arbre,Résineux,Moyenne,10,0.428,0
Abies concolor,Pinopsida,Pinales,Pinaceae,Abies,concolor,Picea concolor,Arbre,Résineux,Lente,36,0.370,0
Abies concolor v. lowiana,Pinopsida,Pinales,Pinaceae,Abies,concolor v. lowiana,Abies lowiana,Arbre,Résineux,Lente,29,0.428,0
Abies delavayi,Pinopsida,Pinales,Pinaceae,Abies,delavayi,,Arbre,Résineux,Moyenne,12,0.400,0
Abies fargesii,Pinopsida,Pinales,Pinaceae,Abies,fargesii,,Arbre,Résineux,Moyenne,12,0.340,0
Abies firma,Pinopsida,Pinales,Pinaceae,Abies,firma,,Arbre,Résineux,Moyenne,9,0.428,0
Abies forrestii v. georgei,Pinopsida,Pinales,Pinaceae,Abies,forrestii v. georgei,,Arbre,Résineux,Moyenne,12,0.428,0
Abies fraseri,Pinopsida,Pinales,Pinaceae,Abies,fraseri,Pinus fraseri,Arbre,Résineux,Moyenne,16,0.428,0
Abies grandis,Pinopsida,Pinales,Pinaceae,Abies,grandis,,Arbre,Résineux,Moyenne,45,0.350,0
Abies holophylla,Pinopsida,Pinales,Pinaceae,Abies,holophylla,,Arbre,Résineux,Lente,30,0.336,0
Abies homolepis,Pinopsida,Pinales,Pinaceae,Abies,homolepis,,Arbre,Résineux,Lente,15,0.428,0
Abies kawakamii,Pinopsida,Pinales,Pinaceae,Abies,kawakamii,,Arbre,Résineux,Inconnue,30,0.428,0
Abies koreana,Pinopsida,Pinales,Pinaceae,Abies,koreana,,Arbuste ou buisson,Résineux,Rapide,2,0.428,0
Abies lasiocarpa,Pinopsida,Pinales,Pinaceae,Abies,lasiocarpa,Abies bifolia,Arbre,Résineux,Lente,27,0.310,0
Abies magnifica,Pinopsida,Pinales,Pinaceae,Abies,magnifica,,Arbre,Résineux,Lente,45,0.360,0
Abies masjoannis,Pinopsida,Pinales,Pinaceae,Abies,x masjoannis,,Arbre,Résineux,Rapide,30,0.428,0
Abies nordmanniana,Pinopsida,Pinales,Pinaceae,Abies,nordmanniana,,Arbre,Résineux,Lente,19,0.428,0
Abies numidica,Pinopsida,Pinales,Pinaceae,Abies,numidica,,Arbre,Résineux,Rapide,7,0.428,0
Abies phanerolepis,Pinopsida,Pinales,Pinaceae,Abies,x phanerolepis,Abies balsamea var. phanerolepis,Arbre,Résineux,Lente,29,0.428,0
Abies pinsapo,Pinopsida,Pinales,Pinaceae,Abies,pinsapo,,Arbre,Résineux,Lente,29,0.410,0
Abies procera,Pinopsida,Pinales,Pinaceae,Abies,procera,Abies nobilis,Arbre,Résineux,Rapide,54,0.370,0
Abies religiosa,Pinopsida,Pinales,Pinaceae,Abies,religiosa,,Arbre,Résineux,Moyenne,10,0.380,0
Abies shastensis,Pinopsida,Pinales,Pinaceae,Abies,x shastensis,Abies magnifica var. shastensis,Arbre,Résineux,Lente,29,0.428,0
Abies squamata,Pinopsida,Pinales,Pinaceae,Abies,squamata,,Arbre,Résineux,Inconnue,28,0.428,0
Abies veitchii,Pinopsida,Pinales,Pinaceae,Abies,veitchii,,Grand arbuste,Résineux,Rapide,6,0.428,0
Abutilon berlandieri,Magnoliopsida,Malvales,Malvaceae,Abutilon,berlandieri,Abutilon californicum,Arbuste ou buisson,Feuillus,Moyenne,1,0.442,0
Abutilon eremitopetalum,Magnoliopsida,Malvales,Malvaceae,Abutilon,eremitopetalum,,Arbuste ou buisson,Feuillus,Moyenne,0,0.442,0
Abutilon grandifolium,Magnoliopsida,Malvales,Malvaceae,Abutilon,grandifolium,,Arbuste ou buisson,Feuillus,Moyenne,2,0.442,0
Abutilon megapotamicum,Magnoliopsida,Malvales,Malvaceae,Abutilon,megapotamicum,,Grand arbuste,Feuillus,Rapide,3,0.442,0
Abutilon menziesii,Magnoliopsida,Malvales,Malvaceae,Abutilon,menziesii,,Grand arbuste,Feuillus,Moyenne,3,0.442,0
Abutilon palmeri,Magnoliopsida,Malvales,Malvaceae,Abutilon,palmeri,,Arbuste ou buisson,Feuillus,Moyenne,1,0.442,0
Abutilon sandwicense,Magnoliopsida,Malvales,Malvaceae,Abutilon,sandwicense,Abutilon sandwicense var. welchii,Arbuste ou buisson,Feuillus,Moyenne,2,0.442,0
Acacia acradenia,Magnoliopsida,Fabales,Fabaceae,Acacia,acradenia,,Grand arbuste,Feuillus,Lente,2,0.904,1
Acacia acuminata,Magnoliopsida,Fabales,Fabaceae,Acacia,acuminata,,Grand arbuste,Feuillus,Moyenne,3,0.951,1
Acacia adunca,Magnoliopsida,Fabales,Fabaceae,Acacia,adunca,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia alata,Magnoliopsida,Fabales,Fabaceae,Acacia,alata,,Grand arbuste,Feuillus,Rapide,2,0.724,1
Acacia amoena,Magnoliopsida,Fabales,Fabaceae,Acacia,amoena,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia anceps,Magnoliopsida,Fabales,Fabaceae,Acacia,anceps,,Grand arbuste,Feuillus,Lente,0,0.724,1
Acacia anegadensis,Magnoliopsida,Fabales,Fabaceae,Acacia,anegadensis,,Arbre,Feuillus,Moyenne,12,0.724,1
Acacia aneura,Magnoliopsida,Fabales,Fabaceae,Acacia,aneura,,Grand arbuste,Feuillus,Moyenne,5,0.980,1
Acacia anfractuosa,Magnoliopsida,Fabales,Fabaceae,Acacia,anfractuosa,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia argyrophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,argyrophylla,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia asak,Magnoliopsida,Fabales,Fabaceae,Acacia,asak,,Grand arbuste,Feuillus,Moyenne,10,0.724,1
Acacia assimilis,Magnoliopsida,Fabales,Fabaceae,Acacia,assimilis,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia aulacocarpa,Magnoliopsida,Fabales,Fabaceae,Acacia,aulacocarpa,,Grand arbuste,Feuillus,Moyenne,2,0.655,1
Acacia auriculiformis,Magnoliopsida,Fabales,Fabaceae,Acacia,auriculiformis,,Arbre,Feuillus,Rapide,9,0.680,1
Acacia axillaris,Magnoliopsida,Fabales,Fabaceae,Acacia,axillaris,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia baileyana,Magnoliopsida,Fabales,Fabaceae,Acacia,baileyana,,Grand arbuste,Feuillus,Rapide,5,0.724,1
Acacia bakeri,Magnoliopsida,Fabales,Fabaceae,Acacia,bakeri,,Arbre,Feuillus,Rapide,12,0.771,1
Acacia bancroftiorum,Magnoliopsida,Fabales,Fabaceae,Acacia,bancroftiorum,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia beckleri,Magnoliopsida,Fabales,Fabaceae,Acacia,beckleri,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia berlandieri,Magnoliopsida,Fabales,Fabaceae,Acacia,berlandieri,Acacia emoryana,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia binervata,Magnoliopsida,Fabales,Fabaceae,Acacia,binervata,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia binervia,Magnoliopsida,Fabales,Fabaceae,Acacia,binervia,,Arbre,Feuillus,Rapide,15,0.724,1
Acacia blakelyi,Magnoliopsida,Fabales,Fabaceae,Acacia,blakelyi,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia boormanii,Magnoliopsida,Fabales,Fabaceae,Acacia,boormanii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia brachybotrya,Magnoliopsida,Fabales,Fabaceae,Acacia,brachybotrya,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia bussei,Magnoliopsida,Fabales,Fabaceae,Acacia,bussei,,Grand arbuste,Feuillus,Inconnue,9,0.724,1
Acacia buxifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,buxifolia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia calamifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,calamifolia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia cambagei,Magnoliopsida,Fabales,Fabaceae,Acacia,cambagei,,Grand arbuste,Feuillus,Lente,4,1.083,1
Acacia cardiophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,cardiophylla,,Arbuste ou buisson,Feuillus,Moyenne,2,0.724,1
Acacia caroleae,Magnoliopsida,Fabales,Fabaceae,Acacia,caroleae,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia caven,Magnoliopsida,Fabales,Fabaceae,Acacia,caven,,Grand arbuste,Feuillus,Moyenne,3,0.783,1
Acacia celastrifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,celastrifolia,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia choriophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,choriophylla,,Grand arbuste,Feuillus,Moyenne,12,0.724,1
Acacia chrysella,Magnoliopsida,Fabales,Fabaceae,Acacia,chrysella,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia cochlearis,Magnoliopsida,Fabales,Fabaceae,Acacia,cochlearis,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia colletioides,Magnoliopsida,Fabales,Fabaceae,Acacia,colletioides,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia complanata,Magnoliopsida,Fabales,Fabaceae,Acacia,complanata,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia concurrens,Magnoliopsida,Fabales,Fabaceae,Acacia,concurrens,,Grand arbuste,Feuillus,Moyenne,3,0.758,1
Acacia conferta,Magnoliopsida,Fabales,Fabaceae,Acacia,conferta,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia confusa,Magnoliopsida,Fabales,Fabaceae,Acacia,confusa,,Arbre,Feuillus,Moyenne,12,0.732,1
Acacia constricta,Magnoliopsida,Fabales,Fabaceae,Acacia,constricta,,Arbuste ou buisson,Feuillus,Lente,2,0.724,1
Acacia coriacea,Magnoliopsida,Fabales,Fabaceae,Acacia,coriacea,,Grand arbuste,Feuillus,Lente,3,0.938,1
Acacia cornigera,Magnoliopsida,Fabales,Fabaceae,Acacia,cornigera,,Grand arbuste,Feuillus,Moyenne,10,0.724,1
Acacia cowleana,Magnoliopsida,Fabales,Fabaceae,Acacia,cowleana,,Grand arbuste,Feuillus,Lente,2,0.724,1
Acacia craspedocarpa,Magnoliopsida,Fabales,Fabaceae,Acacia,craspedocarpa,,Grand arbuste,Feuillus,Moyenne,1,0.887,1
Acacia crassicarpa,Magnoliopsida,Fabales,Fabaceae,Acacia,crassicarpa,,Arbre,Feuillus,Moyenne,7,0.596,1
Acacia cultriformis,Magnoliopsida,Fabales,Fabaceae,Acacia,cultriformis,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia curranii,Magnoliopsida,Fabales,Fabaceae,Acacia,curranii,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia curvinervia,Magnoliopsida,Fabales,Fabaceae,Acacia,curvinervia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia cyclops,Magnoliopsida,Fabales,Fabaceae,Acacia,cyclops,,Grand arbuste,Feuillus,Moyenne,7,0.724,1
Acacia cyperophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,cyperophylla,,Grand arbuste,Feuillus,Lente,3,0.724,1
Acacia dawsonii,Magnoliopsida,Fabales,Fabaceae,Acacia,dawsonii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia dealbata,Magnoliopsida,Fabales,Fabaceae,Acacia,dealbata,Acacia decurrens var. dealbata,Arbre,Feuillus,Moyenne,12,0.587,1
Acacia deanei,Magnoliopsida,Fabales,Fabaceae,Acacia,deanei,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia decora,Magnoliopsida,Fabales,Fabaceae,Acacia,decora,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia decurrens,Magnoliopsida,Fabales,Fabaceae,Acacia,decurrens,,Arbre,Feuillus,Moyenne,10,0.556,1
Acacia dempsteri,Magnoliopsida,Fabales,Fabaceae,Acacia,dempsteri,,Grand arbuste,Feuillus,Lente,0,0.724,1
Acacia desmondii,Magnoliopsida,Fabales,Fabaceae,Acacia,desmondii,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia dictyophleba,Magnoliopsida,Fabales,Fabaceae,Acacia,dictyophleba,,Grand arbuste,Feuillus,Lente,1,0.762,1
Acacia difformis,Magnoliopsida,Fabales,Fabaceae,Acacia,difformis,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia dodonaeifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,dodonaeifolia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia doratoxylon,Magnoliopsida,Fabales,Fabaceae,Acacia,doratoxylon,,Grand arbuste,Feuillus,Moyenne,3,0.788,1
Acacia dunnii,Magnoliopsida,Fabales,Fabaceae,Acacia,dunnii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia elata,Magnoliopsida,Fabales,Fabaceae,Acacia,elata,,Arbre,Feuillus,Moyenne,12,0.510,1
Acacia elongata,Magnoliopsida,Fabales,Fabaceae,Acacia,elongata,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia ensifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,ensifolia,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia excelsa,Magnoliopsida,Fabales,Fabaceae,Acacia,excelsa,,Grand arbuste,Feuillus,Moyenne,6,0.938,1
Acacia extensa,Magnoliopsida,Fabales,Fabaceae,Acacia,extensa,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia falcata,Magnoliopsida,Fabales,Fabaceae,Acacia,falcata,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia falciformis,Magnoliopsida,Fabales,Fabaceae,Acacia,falciformis,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia farnesiana,Magnoliopsida,Fabales,Fabaceae,Acacia,farnesiana,Acacia smallii. Acacia minuta. Pithecellobium minutum. Vachellia farnesiana. Vachellia densiflora. Mimosa farnesiana. Acacia minuta ssp. densiflora,Grand arbuste,Feuillus,Lente,6,0.724,1
Acacia filifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,filifolia,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia fimbriata,Magnoliopsida,Fabales,Fabaceae,Acacia,fimbriata,,Grand arbuste,Feuillus,Rapide,6,0.724,1
Acacia flavescens,Magnoliopsida,Fabales,Fabaceae,Acacia,flavescens,,Grand arbuste,Feuillus,Moyenne,6,0.724,1
Acacia floribunda,Magnoliopsida,Fabales,Fabaceae,Acacia,floribunda,,Grand arbuste,Feuillus,Moyenne,7,0.724,1
Acacia frigescens,Magnoliopsida,Fabales,Fabaceae,Acacia,frigescens,,Grand arbuste,Feuillus,Moyenne,4,0.724,1
Acacia gillii,Magnoliopsida,Fabales,Fabaceae,Acacia,gillii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia gladiiformis,Magnoliopsida,Fabales,Fabaceae,Acacia,gladiiformis,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia grasbyi,Magnoliopsida,Fabales,Fabaceae,Acacia,grasbyi,,Grand arbuste,Feuillus,Lente,1,0.982,1
Acacia greggii,Magnoliopsida,Fabales,Fabaceae,Acacia,greggii,,Grand arbuste,Feuillus,Lente,7,0.724,1
Acacia greggii v. wrightii,Magnoliopsida,Fabales,Fabaceae,Acacia,greggii v. wrightii,Acacia wrightii,Grand arbuste,Feuillus,Moyenne,10,0.724,1
Acacia hakeoides,Magnoliopsida,Fabales,Fabaceae,Acacia,hakeoides,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia harpophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,harpophylla,,Arbre,Feuillus,Moyenne,7,0.896,1
Acacia havilandiorum,Magnoliopsida,Fabales,Fabaceae,Acacia,havilandiorum,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia hemignosta,Magnoliopsida,Fabales,Fabaceae,Acacia,hemignosta,,Grand arbuste,Feuillus,Moyenne,3,0.646,1
Acacia heteroclita,Magnoliopsida,Fabales,Fabaceae,Acacia,heteroclita,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia holosericea,Magnoliopsida,Fabales,Fabaceae,Acacia,holosericea,,Grand arbuste,Feuillus,Moyenne,2,0.749,1
Acacia howittii,Magnoliopsida,Fabales,Fabaceae,Acacia,howittii,,Grand arbuste,Feuillus,Rapide,9,0.724,1
Acacia humifusa,Magnoliopsida,Fabales,Fabaceae,Acacia,humifusa,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia implexa,Magnoliopsida,Fabales,Fabaceae,Acacia,implexa,,Grand arbuste,Feuillus,Moyenne,15,0.639,1
Acacia irrorata,Magnoliopsida,Fabales,Fabaceae,Acacia,irrorata,,Arbre,Feuillus,Rapide,12,0.551,1
Acacia iteaphylla,Magnoliopsida,Fabales,Fabaceae,Acacia,iteaphylla,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia ixiophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,ixiophylla,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia jennerae,Magnoliopsida,Fabales,Fabaceae,Acacia,jennerae,,Grand arbuste,Feuillus,Lente,1,0.742,1
Acacia johnsonii,Magnoliopsida,Fabales,Fabaceae,Acacia,johnsonii,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia jucunda,Magnoliopsida,Fabales,Fabaceae,Acacia,jucunda,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia julifera,Magnoliopsida,Fabales,Fabaceae,Acacia,julifera,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia juncifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,juncifolia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia kempeana,Magnoliopsida,Fabales,Fabaceae,Acacia,kempeana,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia kettlewelliae,Magnoliopsida,Fabales,Fabaceae,Acacia,kettlewelliae,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia koa,Magnoliopsida,Fabales,Fabaceae,Acacia,koa,Acacia koa var. waimeae. Acacia koa var. lanaiensis. Acacia koa var. hawaiiensis. Acacia kauaiensis,Arbre,Feuillus,Moyenne,21,0.724,1
Acacia koaia,Magnoliopsida,Fabales,Fabaceae,Acacia,koaia,,Arbre,Feuillus,Rapide,12,0.724,1
Acacia lahai,Magnoliopsida,Fabales,Fabaceae,Acacia,lahai,,Grand arbuste,Feuillus,Inconnue,4,0.724,1
Acacia latzii,Magnoliopsida,Fabales,Fabaceae,Acacia,latzii,,Grand arbuste,Feuillus,Lente,2,0.724,1
Acacia leichhardtii,Magnoliopsida,Fabales,Fabaceae,Acacia,leichhardtii,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia leiocalyx,Magnoliopsida,Fabales,Fabaceae,Acacia,leiocalyx,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia leptostachya,Magnoliopsida,Fabales,Fabaceae,Acacia,leptostachya,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia leucoclada,Magnoliopsida,Fabales,Fabaceae,Acacia,leucoclada,,Arbre,Feuillus,Rapide,10,0.724,1
Acacia ligulata,Magnoliopsida,Fabales,Fabaceae,Acacia,ligulata,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia linifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,linifolia,,Grand arbuste,Feuillus,Rapide,6,0.724,1
Acacia loderi,Magnoliopsida,Fabales,Fabaceae,Acacia,loderi,,Grand arbuste,Feuillus,Lente,2,0.724,1
Acacia longifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,longifolia,Acacia latifolia,Grand arbuste,Feuillus,Rapide,12,0.510,1
Acacia longifolia ssp. longifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,longifolia ssp. longifolia,,Grand arbuste,Feuillus,Moyenne,5,0.724,1
Acacia longifolia ssp. sphorae,Magnoliopsida,Fabales,Fabaceae,Acacia,longifolia ssp. sphorae,,Grand arbuste,Feuillus,Moyenne,5,0.724,1
Acacia longiphyllodinea,Magnoliopsida,Fabales,Fabaceae,Acacia,longiphyllodinea,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia longispicata,Magnoliopsida,Fabales,Fabaceae,Acacia,longispicata,,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia lucasii,Magnoliopsida,Fabales,Fabaceae,Acacia,lucasii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia maconochieana,Magnoliopsida,Fabales,Fabaceae,Acacia,maconochieana,,Grand arbuste,Feuillus,Lente,3,0.800,1
Acacia macradenia,Magnoliopsida,Fabales,Fabaceae,Acacia,macradenia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia maidenii,Magnoliopsida,Fabales,Fabaceae,Acacia,maidenii,,Arbre,Feuillus,Rapide,20,0.620,1
Acacia maitlandii,Magnoliopsida,Fabales,Fabaceae,Acacia,maitlandii,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia mangium,Magnoliopsida,Fabales,Fabaceae,Acacia,mangium,,Arbre,Feuillus,Inconnue,29,0.507,1
Acacia mearnsii,Magnoliopsida,Fabales,Fabaceae,Acacia,mearnsii,Acacia decurrens var. mollis,Arbre,Feuillus,Moyenne,12,0.660,1
Acacia meisneri,Magnoliopsida,Fabales,Fabaceae,Acacia,meisneri,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia melanoxylon,Magnoliopsida,Fabales,Fabaceae,Acacia,melanoxylon,,Arbre,Feuillus,Rapide,12,0.531,1
Acacia melleodora,Magnoliopsida,Fabales,Fabaceae,Acacia,melleodora,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia microbotrya,Magnoliopsida,Fabales,Fabaceae,Acacia,microbotrya,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia millefolia,Magnoliopsida,Fabales,Fabaceae,Acacia,millefolia,,Grand arbuste,Feuillus,Moyenne,12,0.724,1
Acacia montana,Magnoliopsida,Fabales,Fabaceae,Acacia,montana,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia monticola,Magnoliopsida,Fabales,Fabaceae,Acacia,monticola,,Grand arbuste,Feuillus,Lente,1,0.724,1
Acacia mucronata,Magnoliopsida,Fabales,Fabaceae,Acacia,mucronata,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia muelleriana,Magnoliopsida,Fabales,Fabaceae,Acacia,muelleriana,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia muricata,Magnoliopsida,Fabales,Fabaceae,Acacia,muricata,Mimosa muricata,Arbre,Feuillus,Moyenne,12,0.724,1
Acacia murrayana,Magnoliopsida,Fabales,Fabaceae,Acacia,murrayana,,Arbre,Feuillus,Rapide,7,0.519,1
Acacia myrtifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,myrtifolia,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia neovernicosa,Magnoliopsida,Fabales,Fabaceae,Acacia,neovernicosa,Acacia constricta var. vernicosa. Acacia vernicosa,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia neriifolia,Magnoliopsida,Fabales,Fabaceae,Acacia,neriifolia,,Grand arbuste,Feuillus,Moyenne,2,0.724,1
Acacia nigrescens,Magnoliopsida,Fabales,Fabaceae,Acacia,nigrescens,,Arbre,Feuillus,Moyenne,12,0.724,1
Acacia notabilis,Magnoliopsida,Fabales,Fabaceae,Acacia,notabilis,,Grand arbuste,Feuillus,Moyenne,0,0.724,1
Acacia nyssophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,nyssophylla,,Grand arbuste,Feuillus,Lente,0,0.724,1
Acacia obliquinervia,Magnoliopsida,Fabales,Fabaceae,Acacia,obliquinervia,,Grand arbuste,Feuillus,Moyenne,4,0.724,1
Acacia omalophylla,Magnoliopsida,Fabales,Fabaceae,Acacia,omalophylla,,Grand arbuste,Feuillus,Moyenne,3,1.063,1
Acacia oswaldii,Magnoliopsida,Fabales,Fabaceae,Acacia,oswaldii,,Grand arbuste,Feuillus,Moyenne,2,0.976,1
Acacia papyrocarpa,Magnoliopsida,Fabales,Fabaceae,Acacia,papyrocarpa,,Grand arbuste,Feuillus,Lente,2,0.975,1
Acacia paradoxa,Magnoliopsida,Fabales,Fabaceae,Acacia,paradoxa,Acacia armata,Grand arbuste,Feuillus,Moyenne,3,0.724,1
Acacia parramattensis,Magnoliopsida,Fabales,Fabaceae,Acacia,parramattensis,,Arbre,Feuillus,Moyenne,12,0.724,1
Acacia parvipinnula,Magnoliopsida,Fabales,Fabaceae,Acacia,parvipinnula,,Arbre,Feuillus,Rapide,10,0.724,1
Acacia pataczekii,Magnoliopsida,Fabales,Fabaceae,Acacia,pataczekii,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
Acacia pendula,Magnoliopsida,Fabales,Fabaceae,Acacia,pendula,,Arbre,Feuillus,Inconnue,11,0.994,1
Acacia penninervis,Magnoliopsida,Fabales,Fabaceae,Acacia,penninervis,,Grand arbuste,Feuillus,Moyenne,2,0.637,1
Acacia pentadenia,Magnoliopsida,Fabales,Fabaceae,Acacia,pentadenia,,Grand arbuste,Feuillus,Moyenne,1,0.724,1
